CVE_EST,NOM_EST,CVE_MUN,NOM_MUN,GINI,Enf_int_xhab,ind_ingreso,IMN_2020,A_ve_m2,PORC_C_ALIM,PERS_C_ASBV,PORC_POB_IILP,PCDISC_MOT,porc_sin_tratar,Porc_ab_msup,pje_pob_15ymas_edbasinc_2020,pib_estatal,PE_INAC,Pob_des,rsu_sin_rec,sup_sin_total,u_panag,Pje_vivnodinter_2020,tasa_unidades_eco,tot_del_fc,PSINDER,VPH_NODREN,p_sind,personal_seguridad ,ec_co2e,uem50,carretera_km,TOT_INV_CARR,TOT_INV_AGUA,TOT_INV_ESPE,SPDCD_T,t_lamp_lumi_alumb_pub,p_disp_seg,pres_eje_seg_mun,pob_ben_beca,Tiendas liconsa
13,Hidalgo,1,Acatlán,0.289242,10.24,0.711,0.843,0.182442583,32.79288227,6.008927715,68.72430878,447,100.00,17.99,45.95,0.06,5568,0.82,"17,722",0.562435786,83.87,68.1,44.17,141,9798,843,44.00,32,101554,2,186.52,33454189.86,0,2633785.21,3,2450,,,541.43,10
13,Hidalgo,2,Acaxochitlán,0.354758,9.23,0.646,0.793,0.013633593,45.85698429,28.75366465,69.86121421,737,100.00,15.53,54.35,0.18,11648,2.22,"39,278",1.597349523,88.78,92.2,125.12,286,16447,1558,35.70,49,75771,0,170.34,86245565.24,20283228.59,4696751.765,,4161,149,,"6,306.54",2
13,Hidalgo,3,Actopan,0.33248,48.98,0.746,0.899,1.023388699,21.20695204,5.032096337,55.50424994,1326,96.85,21.28,24.64,1.59,15720,4.08,"23,202",2.136151554,72.99,61.0,64.43,1361,22369,564,36.67,55,113033,2,162.13,61269160.57,3531743.818,27079183.17,16,7763,1313,17392697,"7,190.20",9
13,Hidalgo,4,Agua Blanca de Iturbide,0.318196,32.39,0.673,0.837,0.030448535,31.48119889,8.871548764,73.1804428,297,100.00,23.47,40.74,0.15,3357,1.18,"9,076",0.541641658,69.39,87.2,79.22,63,3416,330,33.12,27,23192,0,75.52,23364329.73,0,,3,998,77,7641185,"1,276.10",10
13,Hidalgo,5,Ajacuba,0.305404,14.04,0.724,0.893,0.0831962,21.45136597,5.801082882,61.84427451,472,100.00,28.06,32.26,0.38,6175,1.56,"16,146",9.976740733,74.79,54.4,57.57,94,6461,187,34.24,21,35340,1,32.79,48617308.39,6652625.024,2440881.64,6,1946,68,13 719 140,"1,181.82",4
13,Hidalgo,6,Alfajayucan,0.310533,20.87,0.696,0.849,0.03277484,45.07760614,5.644732172,67.16654561,603,100.00,25.50,36.24,0.09,5335,1.15,"14,994",8.142970383,80.73,88.3,70.29,89,6521,778,34.03,23,"39,660",1,111.1,26838840.6,188179932.2,1120730.38,,3580,68,14 197 652,"1,679.43",13
13,Hidalgo,7,Almoloya,0.311366,19.45,0.699,0.881,0.025029152,24.45589948,7.137363586,60.05753263,341,96.85,27.69,31.02,0.05,4273,1.91,"7,055",1.131828394,47.02,80.0,100.38,188,2682,154,21.38,30,"31,115",1,104,11593122.85,173101.5995,7223848.5,14,1169,135,9 390 431,821.04,2
13,Hidalgo,8,Apan,0.340159,21.19,0.747,0.904,0.203457992,21.40136065,5.106672426,64.31625353,1398,96.85,25.52,26.56,0.85,14970,5.88,"6,017",0.841072952,53.27,57.8,50.88,1074,13729,278,29.41,68,96980,4,125.09,173807325.9,5508946.308,52845085.36,24,3251,445,34 237 964,"7,210.79",0
13,Hidalgo,9,El Arenal,0.316555,16.13,0.714,0.871,0.015830598,32.74599213,6.112157418,70.11960097,479,100.00,19.59,28.47,0.08,5427,1.58,"15,803",21.99463493,69.53,74.9,148.43,191,7157,314,36.08,19,50278,0,37.335,24110988.43,22838951.85,,3,2671,175,14 840 360,693.04,5
13,Hidalgo,10,Atitalaquia,0.314456,40.86,0.79,0.927,0.059765089,12.30120542,2.362515687,43.05568418,679,96.85,21.06,26.53,13.52,10891,4.28,"17,830",7.145416389,85.36,55.6,77.68,317,8290,94,26.30,59,359024,11,104.65,79322691.63,4780214.506,8088672.532,,3775,491,19 088 927,"3,093.42",2
